provider_id,name,phone,address,city,speciality,license
P0001,Dr. Rahul A.,913321819603,"527 MG Road, Kolkata",Kolkata,Dermatology,LIC-88907
P0002,Dr. Amit R.,918637940265,"230 MG Road, Bengaluru",Bengaluru,ENT,LIC-54118
P0003,Dr. Rahul C.,915594078161,"859 MG Road, Mumbai",Mumbai,Cardiology,LIC-92397
P0004,Dr. Anoop L.,911034131647,"383 MG Road, Delhi",Delhi,Orthopedics,LIC-31319
P0005,Dr. Rakesh L.,914192832764,"665 MG Road, Bengaluru",Bengaluru,ENT,LIC-83000
P0006,Dr. Priya V.,910305641395,"521 MG Road, Chennai",Chennai,Neurology,LIC-61856
P0007,Dr. Parakh E.,913884969653,"151 Main St, Chennai",Chennai,Orthopedics,LIC-76784
P0008,Dr. Parakh C.,911226916697,"576 MG Road, Hyderabad",Hyderabad,Cardiology,LIC-11504
P0009,Dr. Rahul V.,914514627048,"529 MG Road, Delhi",Delhi,Neurology,LIC-23947
P0010,Dr. Anita U.,913252880955,"909 MG Road, Delhi",Delhi,General Surgery,LIC-50306
P0011,Dr. Priya B.,911171822782,"903 MG Road, Bengaluru",Bengaluru,General Surgery,LIC-89507
P0012,Dr. Neha G.,913465787130,"612 MG Road, Delhi",Delhi,Neurology,LIC-82603
P0013,Dr. Priya S.,911031051834,"229 MG Road, Bengaluru",Bengaluru,Cardiology,LIC-80678
P0014,Dr. Suman X.,917376311656,"894 Main St, Delhi",Delhi,General Surgery,LIC-17100
P0015,Dr. Rahul B.,915133387262,"265 Main St, Mumbai",Mumbai,ENT,LIC-19880
P0016,Dr. Parakh Z.,918108013267,"895 MG Road, Hyderabad",Hyderabad,Neurology,LIC-62565
P0017,Dr. Amit F.,916474687234,"69 MG Road, Mumbai",Mumbai,Cardiology,LIC-85914
P0018,Dr. Nishant B.,910097882081,"80 MG Road, Kolkata",Kolkata,Dermatology,LIC-87992
P0019,Dr. Rahul V.,916193990916,"588 MG Road, Hyderabad",Hyderabad,Orthopedics,LIC-78522
P0020,Dr. Rakesh I.,915346247510,"586 Main St, Bengaluru",Bengaluru,ENT,LIC-23104
P0021,Dr. Rahul R.,914251354278,"636 Main St, Bengaluru",Bengaluru,General Surgery,LIC-95717
P0022,Dr. Nishant A.,918412411824,"225 MG Road, Kolkata",Kolkata,Neurology,LIC-54942
P0023,Dr. Priya V.,914874016400,"143 MG Road, Kolkata",Kolkata,Neurology,LIC-93507
P0024,Dr. Anita F.,918680112805,"161 MG Road, Kolkata",Kolkata,Pediatrics,LIC-66333
P0025,Dr. Suman B.,910533158692,"252 MG Road, Chennai",Chennai,Dermatology,LIC-31299
P0026,Dr. Suman N.,915634216073,"950 MG Road, Patna",Patna,Orthopedics,LIC-70332
P0027,Dr. Rakesh J.,913303654145,"419 MG Road, Hyderabad",Hyderabad,Neurology,LIC-99065
P0028,Dr. Nishant K.,911832856914,"533 MG Road, Patna",Patna,Cardiology,LIC-25157
P0029,Dr. Neha S.,910608835615,"689 MG Road, Bengaluru",Bengaluru,Dermatology,LIC-26334
P0030,Dr. Anita Q.,911617990421,"318 Main St, Chennai",Chennai,ENT,LIC-63225
P0031,Dr. Nishant A.,913699577738,"932 Main St, Chennai",Chennai,Dermatology,LIC-32241
P0032,Dr. Rahul J.,919513433200,"496 MG Road, Delhi",Delhi,ENT,LIC-90120
P0033,Dr. Rahul O.,919367632016,"833 MG Road, Mumbai",Mumbai,ENT,LIC-77889
P0034,Dr. Parakh B.,911727889579,"923 MG Road, Delhi",Delhi,Orthopedics,LIC-76162
P0035,Dr. Neha R.,917743487344,"250 MG Road, Mumbai",Mumbai,Orthopedics,LIC-45614
P0036,Dr. Rakesh K.,912236231665,"435 MG Road, Delhi",Delhi,Cardiology,LIC-18161
P0037,Dr. Priya N.,919096705466,"762 MG Road, Mumbai",Mumbai,Neurology,LIC-81582
P0038,Dr. Anoop H.,914670656272,"556 MG Road, Mumbai",Mumbai,Orthopedics,LIC-13534
P0039,Dr. Neha S.,910162720465,"344 MG Road, Delhi",Delhi,ENT,LIC-54236
P0040,Dr. Neha I.,916417080531,"677 MG Road, Hyderabad",Hyderabad,Neurology,LIC-15276
P0041,Dr. Amit H.,910923271937,"795 Main St, Bengaluru",Bengaluru,Neurology,LIC-58351
P0042,Dr. Suman T.,911241904966,"213 MG Road, Delhi",Delhi,ENT,LIC-19961
P0043,Dr. Anoop W.,913149190586,"80 MG Road, Hyderabad",Hyderabad,ENT,LIC-76317
P0044,Dr. Rakesh A.,917165726284,"951 MG Road, Hyderabad",Hyderabad,Pediatrics,LIC-80539
P0045,Dr. Parakh O.,918000307562,"398 MG Road, Mumbai",Mumbai,Neurology,LIC-54092
P0046,Dr. Amit P.,912735454943,"97 Main St, Hyderabad",Hyderabad,Dermatology,LIC-41635
P0047,Dr. Neha P.,913777014363,"605 MG Road, Delhi",Delhi,Neurology,LIC-58368
P0048,Dr. Parakh R.,916855744431,"333 MG Road, Delhi",Delhi,Dermatology,LIC-25670
P0049,Dr. Nishant Y.,913374989413,"379 MG Road, Kolkata",Kolkata,Orthopedics,LIC-33519
P0050,Dr. Anita A.,912400842710,"490 MG Road, Kolkata",Kolkata,General Surgery,LIC-72746
P0051,Dr. Parakh K.,914711671909,"981 MG Road, Bengaluru",Bengaluru,Cardiology,LIC-49824
P0052,Dr. Rahul H.,916999386774,"449 Main St, Patna",Patna,General Surgery,LIC-50026
P0053,Dr. Anoop T.,911334123281,"428 MG Road, Patna",Patna,General Surgery,LIC-69048
P0054,Dr. Anoop P.,916174451870,"673 MG Road, Chennai",Chennai,Cardiology,LIC-29528
P0055,Dr. Anita E.,912499471746,"522 MG Road, Patna",Patna,Cardiology,LIC-80776
P0056,Dr. Parakh O.,910659401399,"793 MG Road, Patna",Patna,General Surgery,LIC-98117
P0057,Dr. Anita S.,912787429671,"428 MG Road, Patna",Patna,Neurology,LIC-53687
P0058,Dr. Rakesh V.,912567468071,"341 MG Road, Patna",Patna,Neurology,LIC-25194
P0059,Dr. Neha Q.,918760385977,"218 MG Road, Hyderabad",Hyderabad,Cardiology,LIC-45003
P0060,Dr. Nishant E.,917109324808,"240 MG Road, Chennai",Chennai,Pediatrics,LIC-24871
P0061,Dr. Parakh D.,912748467737,"402 Main St, Kolkata",Kolkata,Neurology,LIC-34983
P0062,Dr. Anoop Q.,911465840449,"685 MG Road, Kolkata",Kolkata,Orthopedics,LIC-74178
P0063,Dr. Suman O.,915588675339,"886 Main St, Delhi",Delhi,Pediatrics,LIC-63841
P0064,Dr. Amit K.,916627028951,"460 MG Road, Kolkata",Kolkata,Pediatrics,LIC-23069
P0065,Dr. Nishant O.,912621745961,"882 MG Road, Patna",Patna,ENT,LIC-98389
P0066,Dr. Nishant M.,917809134316,"788 MG Road, Chennai",Chennai,ENT,LIC-93066
P0067,Dr. Rahul O.,914005045562,"431 MG Road, Bengaluru",Bengaluru,ENT,LIC-84177
P0068,Dr. Suman F.,919693792374,"692 MG Road, Bengaluru",Bengaluru,Cardiology,LIC-11231
P0069,Dr. Parakh J.,912175946474,"403 MG Road, Kolkata",Kolkata,General Surgery,LIC-73335
P0070,Dr. Rahul H.,913865719182,"773 MG Road, Mumbai",Mumbai,General Surgery,LIC-75107
P0071,Dr. Anita Y.,919533942104,"44 MG Road, Hyderabad",Hyderabad,Orthopedics,LIC-85965
P0072,Dr. Rakesh X.,912344565574,"860 MG Road, Bengaluru",Bengaluru,Cardiology,LIC-31567
P0073,Dr. Anita P.,915171236851,"24 MG Road, Hyderabad",Hyderabad,Dermatology,LIC-44663
P0074,Dr. Nishant D.,914965137098,"634 MG Road, Mumbai",Mumbai,Dermatology,LIC-39015
P0075,Dr. Rahul U.,917756185374,"560 MG Road, Hyderabad",Hyderabad,Pediatrics,LIC-27781
P0076,Dr. Neha O.,918692617965,"232 Main St, Chennai",Chennai,ENT,LIC-68115
P0077,Dr. Parakh H.,911585064313,"667 MG Road, Hyderabad",Hyderabad,Dermatology,LIC-93819
